投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
515543,北京现代,名图,2017款 1.6T 自动 智能型 GLS,北京现代名图行驶中方向跑偏四轮定位未解决,前后桥及悬挂系统跑偏,2020/8/29,信息审核
515538,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障要求尽快解决,车身附件及电器动力电池故障,2020/8/29,信息审核
515537,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱阀体损坏不予更换,变速器故障灯亮变速器滑阀箱故障,2020/8/29,信息审核
515535,上汽大众,朗逸,2013款 1.6L 自动 舒适版 改款,上汽大众朗逸发动机水泵处漏油要求解决,发动机漏油,2020/8/29,信息审核
515534,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞发动机漏防冻液要求解决,发动机漏防冻液,2020/8/29,信息审核
515533,东风悦达起亚,起亚K2,2017款 1.4L 自动 GLS 三厢,起亚K2发动机加速异响4S店无法解决,发动机异响人员技术多次返修人员技术查不出原因,2020/8/29,信息审核
515532,一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱都市版,一汽丰田RAV4荣放打方向卡顿有异响,转向系统异响转向系统卡滞,2020/8/29,信息审核
515525,一汽-大众,C-TREK蔚领,2018款 1.5L 自动 舒适型,一汽大众蔚领冷车启动发动机有异响,发动机异响,2020/8/29,信息审核
515523,长安跨越,跨越者D5,2019款 1.8L PLUS标准型 排半后双轮 标准货箱,长安跨越者D5倒车镜松动变速箱挂挡不顺畅,变速器挡把总成故障转向系统打方向沉重车身附件及电器部件开裂车身附件及电器后视镜故障,2020/8/29,信息审核
515521,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达电瓶亏电要求尽快解决,车身附件及电器电瓶故障车身附件及电器行车安全辅助系统故障,2020/8/29,信息审核
515520,广汽乘用车,传祺GA4,2018款 150N 自动 豪华版,广汽传祺GA4变速箱漏油4S店不给解决,变速器漏油服务态度不解决问题服务态度厂家不回复,2020/8/29,信息审核
515518,东风裕隆,优6 SUV,2016款 1.8T 时尚升级型,纳智捷优6 SUV转向轴再次漏油要求处理,前后桥及悬挂系统半轴渗油配件争议配件质量差,2020/8/29,信息审核
515517,华晨宝马,宝马3系,2020款 330Li xDrive M运动曜夜套装,华晨宝马3系新车提车时前杠有剐蹭痕迹,服务态度不解决问题服务收费变相收费,2020/8/29,信息审核
515516,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动发动机无法识别启动信号,变速器挡把总成故障,2020/8/29,信息审核
515508,东风启辰,启辰D60,2019款 1.6L XL CVT 智联精英版 国V,启辰D60底盘零件大面积生锈望厂家解决,车身附件及电器车身生锈服务态度不予索赔,2020/8/29,信息审核
515507,长城汽车,哈弗H6 Coupe,2016款 1.5T 手动 两驱精英型,哈弗H6 Coupe发动机异响 仪表台开裂,发动机异响前后桥及悬挂系统底盘异响车身附件及电器车身生锈车身附件及电器仪表台开裂车身附件及电器门窗异响车身附件及电器天窗漏水服务态度不予索赔,2020/8/29,信息审核
515506,一汽-大众,速腾,2015款 280TSI  自动 旗舰型,一汽大众速腾ABS传感器故障导致故障灯亮,制动系统ABS故障,2020/8/29,信息审核
515505,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎有开裂希望厂家处理,轮胎开裂,2020/8/29,信息审核
515503,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机严重异响,发动机异响,2020/8/29,信息审核
515499,东风悦达起亚,智跑,2018款 2.0L 手动 时尚版,起亚智跑变速箱无法挂入倒挡4S店无法解决,变速器挡把总成故障服务态度不解决问题人员技术多次返修,2020/8/29,信息审核
515498,广汽乘用车,传祺GM8,2020款 领航款 390T 尊享版,广汽传祺GM8车门异响4S店多次维修未解决,车身附件及电器门窗异响人员技术多次返修,2020/8/29,信息审核
515494,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉仪表转速指针不动查不出原因,车身附件及电器仪表故障人员技术查不出原因,2020/8/29,信息审核
515493,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机烧机油望厂家处理,发动机烧机油,2020/8/29,信息审核
515491,广汽本田,飞度,2004款 两厢飞度 1.5 AT CVT,广汽本田飞度转向卡滞变速箱顿挫要求解决,变速器顿挫转向系统卡滞转向系统打方向沉重,2020/8/29,信息审核
515490,上汽大众,途观L,2019款 330TSI 自动 两驱 R-Line旗舰版 国VI,上汽大众途观L天窗和A柱漏水希望厂家解决,车身附件及电器车身漏水车身附件及电器天窗漏水,2020/8/29,信息审核
515488,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁转向机漏油4S店不予质保,转向系统漏油服务态度不予索赔,2020/8/29,信息审核
515486,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国V,广汽三菱欧蓝德变速箱漏油希望厂家处理,变速器漏油,2020/8/29,信息审核
515484,上汽大众,途观L新能源,2020款 430PHEV 插电混动旗舰版,上汽大众途观L新能源漆面有伤希望厂家解决,车身附件及电器漆面起泡开裂,2020/8/29,信息审核
515482,东风标致,标致508,2012款 2.0L 自动 智享版,东风标致508车内异味严重希望尽快解决,车身附件及电器车内异味,2020/8/29,信息审核
515481,一汽解放,解放J6P,2020款质惠2.0 460马力,一汽解放J6F发动机加速无力油耗高,发动机功率不足发动机油耗高,2020/8/29,信息审核
515479,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机无法启动空调压缩机抱死 ,发动机无法启动车身附件及电器空调问题车身附件及电器轮毂问题,2020/8/29,信息审核
515475,长安马自达,马自达CX-30,2020款 2.0L 自动 雅悦型,长安马自达CX-30购车时4S店变相收取费用,服务收费变相收费服务收费价格不透明,2020/8/29,信息审核
515474,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁智联App无法使用,车身附件及电器车载互联故障,2020/8/29,信息审核
515469,一汽吉林,森雅R7,2017款 1.6L 自动 智能型,一汽吉林森雅R7发动机抖动异响噪音大,发动机异响发动机抖动发动机噪音大,2020/8/29,信息审核
515467,上汽集团,名爵3,2011款 1.3 手动 舒适版,上汽名爵3离合器时好时坏车辆无法行驶,离合器离合器失效,2020/8/29,厂家受理
515465,一汽-大众,高尔夫,2019款 280TSI DSG R-Line型 国V,一汽大众高尔夫大灯发白影响夜晚行车安全,车身附件及电器车灯不亮,2020/8/29,信息审核
515459,北京现代,领动,2018款 1.6L 自动 15周年特别版,北京现代领动转向沉重有异响车身多处生锈,转向系统异响转向系统打方向沉重车身附件及电器车身生锈,2020/8/29,信息审核
515457,一汽-大众,迈腾,2016款 1.8TSI 智享领先型,一汽大众迈腾车内异味严重要求厂家解决,车身附件及电器车内异味,2020/8/29,信息审核
515454,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L天窗漏水严重4S店不予解决,车身附件及电器天窗漏水服务态度不解决问题销售欺诈出售问题车,2020/8/29,信息审核
515451,一汽-大众,高尔夫,2020款 200TSI DSG 舒适型,一汽大众高尔夫韩泰轮胎开裂4S店不保修,轮胎开裂服务态度不予索赔,2020/8/29,信息审核
515448,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机启动时异响4S店不保修,发动机异响发动机正时链条及齿轮故障服务态度不予索赔,2020/8/29,信息审核
515447,北汽新能源,北汽新能源EU,2017款 EU260 乐途plus版,北汽新能源EU刹车失灵4S店不予保修,制动系统刹车失灵制动系统刹车泵故障服务态度不予索赔,2020/8/29,信息审核
515444,一汽-大众奥迪,奥迪A6L,2016款 30 FSI CVT 舒适型,一汽大众奥迪A6L转向机卡滞4S店不保修,转向系统卡滞转向系统转向机故障服务态度互相推诿,2020/8/29,信息审核
515443,上汽通用五菱,宝骏530,2018款 1.5T 手动 豪华型 国V,宝骏530行驶中变速箱脱挡希望尽快处理,变速器脱挡,2020/8/29,处理反馈
515439,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放方向盘不回正车内异响,前后桥及悬挂系统跑偏前后桥及悬挂系统四轮定位偏差车身附件及电器车内异响车身附件及电器车身不平整,2020/8/29,信息审核
515438,北京越野,北京BJ40,2019款 PLUS 2.3T 手动 四驱 尊贵版 国VI,北京BJ40转向机和前桥损坏厂家不予保修,转向系统转向机故障前后桥及悬挂系统前后桥异响服务态度不解决问题服务态度不予索赔,2020/8/29,信息审核
515435,上汽大众,朗逸,2019款 1.5L 自动 视野版 国VI,上汽大众朗逸车内异响4S店多次维修未解决,车身附件及电器车内异响人员技术多次返修人员技术查不出原因,2020/8/29,信息审核
515434,广汽本田,皓影,2020款 240TURBO CVT 两驱 尊贵版,广汽本田皓影前杠两侧裂开要求解决,车身附件及电器部件开裂,2020/8/29,信息审核
515433,长安跨越,跨越者D5,2019款 1.8L 舒适型 单排后双轮 标准货箱,长安跨越D5发动机故障灯报警要求解决,发动机故障灯亮车身附件及电器部件开裂服务态度不解决问题,2020/8/29,信息审核
515427,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408轮毂氧化腐蚀要求解决,车身附件及电器轮毂问题,2020/8/29,信息审核
515426,东风雷诺,科雷缤,2019款 TCe270 自动 劲擎型,东风雷诺科雷缤承诺免流量10年不兑现,承诺不兑现销售承诺不兑现,2020/8/29,信息审核
515421,华晨宝马,宝马X3,2019款 xDrive28i 豪华套装,华晨宝马X3行驶中颠簸晃动售后未解决问题,前后桥及悬挂系统悬挂故障前后桥及悬挂系统行驶中颠簸服务态度不解决问题,2020/8/29,信息审核
515418,东风乘用车,风神AX7,2020款 1.6T 自动 AI领航型 国VI,东风风神AX7发动机异响 半轴球笼损坏,发动机异响前后桥及悬挂系统半轴脱落服务态度不解决问题,2020/8/29,信息审核
515409,北京现代,菲斯塔,2019款 280TGDi 运动版 国V,北京现代菲斯塔天窗异响转向沉重要求解决,转向系统异响车身附件及电器天窗异响服务态度不解决问题,2020/8/29,信息审核
515408,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁前机盖碰撞设计不合理,其他疑似设计缺陷,2020/8/29,信息审核
515406,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408涡轮增压器异响厂家不予保修,发动机异响发动机涡轮增压器故障服务态度不予索赔,2020/8/29,信息审核
515405,东风日产,轩逸,2020款 改款 1.6L XL CVT 智享版,东风日产轩逸发动机启停故障要求厂家解决,车身附件及电器发动机启停系统故障服务态度不解决问题,2020/8/29,信息审核
515404,众泰汽车,众泰T300,2017款 1.5T 手动 尊贵型,众泰T300行驶中发动机抖动转向机异响,发动机抖动转向系统异响车身附件及电器中控锁故障配件争议无零配件,2020/8/29,信息审核
